delay	perdida	size	timeToServer	totalTime
0	0.00000	50	0.2126584053	0.2129797649
0	0.00000	100	0.2087522459	0.2085537004
0	0.00000	150	0.2093194342	0.2099404383
0	0.00000	200	0.2120464992	0.2127635384
0	0.00000	250	0.2120600176	0.2121650696
0	0.00000	300	0.2141990948	0.2139793396
0	0.00000	350	0.2127006674	0.2125026798
0	0.00000	400	0.2136123419	0.2140409946
0	0.00000	450	0.2127722216	0.2130836296
0	0.00000	500	0.2126742601	0.2136157131
0	0.00000	550	0.2165677023	0.2169280624
0	0.00000	600	0.2162293482	0.2159869385
0	0.00000	650	0.2163791657	0.2174599457
0	0.00000	700	0.2142713404	0.2136586857
0	0.00000	750	0.2100306368	0.2097259378
0	0.00000	800	0.2102568674	0.2104229259
0	0.00000	850	0.2105868673	0.2115781736
0	0.00000	900	0.2137997150	0.2137421274
0	0.00000	950	0.2142005587	0.2151309681
0	0.00000	1000	0.2161477661	0.2157753468
