delay	perdida	size	tiempo	iteraciones
0.00	0.00	100	0.0313885880	50
0.00	0.00	200	0.0496196222	50
0.00	0.00	300	0.0494680166	50
0.00	0.00	400	0.0502736902	50
0.00	0.00	500	0.0494928026	50
0.00	0.00	600	0.0498218155	50
0.00	0.00	700	0.0509181070	50
0.00	0.00	800	0.0497148132	50
0.00	0.00	900	0.0509908628	50
0.00	0.00	1000	0.0507845497	50
0.00	0.00	1100	0.0650515747	50
0.00	0.00	1200	0.0690799809	50
0.00	0.00	1300	0.0664520597	50
0.00	0.00	1400	0.0653336000	50
0.00	0.00	1500	0.0663485384	50
0.00	0.00	1600	0.0744767380	50
0.00	0.00	1700	0.0690928221	50
0.00	0.00	1800	0.0670227957	50
0.00	0.00	1900	0.0671679735	50
0.00	0.00	2000	0.0675029564	50
0.00	0.00	2100	0.0817934322	50
0.00	0.00	2200	0.0826559925	50
0.00	0.00	2300	0.0822715950	50
0.00	0.00	2400	0.0826453829	50
0.00	0.00	2500	0.0830662489	50
0.00	0.00	2600	0.0825730419	50
0.00	0.00	2700	0.0836548805	50
0.00	0.00	2800	0.0830648327	50
0.00	0.00	2900	0.0851728773	50
0.00	0.00	3000	0.0900118732	50
0.00	0.00	3100	0.1222390079	50
0.00	0.00	3200	0.1087941504	50
0.00	0.00	3300	0.1039688349	50
0.00	0.00	3400	0.0989987087	50
0.00	0.00	3500	0.0988529205	50
0.00	0.00	3600	0.0997108078	50
0.00	0.00	3700	0.1009239197	50
0.00	0.00	3800	0.0991155720	50
0.00	0.00	3900	0.0997782898	50
0.00	0.00	4000	0.0999980831	50
0.00	0.00	4100	0.1148765564	50
0.00	0.00	4200	0.1164091349	50
0.00	0.00	4300	0.1139558744	50
0.00	0.00	4400	0.1152804804	50
0.00	0.00	4500	0.1150983095	50
0.00	0.00	4600	0.1144722843	50
0.00	0.00	4700	0.1156034374	50
0.00	0.00	4800	0.1147985220	50
0.00	0.00	4900	0.1160653877	50
0.00	0.00	5000	0.1163510704	50
0.00	0.00	5100	0.1154870892	50
0.00	0.00	5200	0.1315568018	50
0.00	0.00	5300	0.1316160536	50
0.00	0.00	5400	0.1309992933	50
0.00	0.00	5500	0.1324165869	50
0.00	0.00	5600	0.1312705183	50
0.00	0.00	5700	0.1312276745	50
0.00	0.00	5800	0.1318713427	50
0.00	0.00	5900	0.1327026463	50
0.00	0.00	6000	0.1323170614	50
0.00	0.00	6100	0.1327226496	50
0.00	0.00	6200	0.1474930620	50
0.00	0.00	6300	0.1476738977	50
0.00	0.00	6400	0.1476277256	50
0.00	0.00	6500	0.1473683643	50
0.00	0.00	6600	0.1481393814	50
0.00	0.00	6700	0.1480128002	50
0.00	0.00	6800	0.1481228733	50
0.00	0.00	6900	0.1480509901	50
0.00	0.00	7000	0.1492680359	50
0.00	0.00	7100	0.1484052467	50
0.00	0.00	7200	0.1713857508	50
0.00	0.00	7300	0.1678188086	50
0.00	0.00	7400	0.1893200541	50
0.00	0.00	7500	0.1752968884	50
0.00	0.00	7600	0.1615993547	50
0.00	0.00	7700	0.1602499247	50
0.00	0.00	7800	0.1611758137	50
0.00	0.00	7900	0.1611582232	50
0.00	0.00	8000	0.1597488976	50
0.00	0.00	8100	0.1612689877	50
0.00	0.00	8200	0.1760594511	50
0.00	0.00	8300	0.1758923769	50
0.00	0.00	8400	0.1756194210	50
0.00	0.00	8500	0.1756569052	50
0.00	0.00	8600	0.1755188942	50
0.00	0.00	8700	0.1763877153	50
0.00	0.00	8800	0.1768030167	50
0.00	0.00	8900	0.1762078953	50
0.00	0.00	9000	0.1765013075	50
0.00	0.00	9100	0.1771423578	50
0.00	0.00	9200	0.1766756487	50
0.00	0.00	9300	0.1923909140	50
0.00	0.00	9400	0.1921167707	50
0.00	0.00	9500	0.1910218859	50
0.00	0.00	9600	0.1926519632	50
0.00	0.00	9700	0.1915824604	50
0.00	0.00	9800	0.1919975233	50
0.00	0.00	9900	0.2039940882	50
