delay	perdida	size	tiempo	iteraciones
0.00	0.10	125	0.0069863701	50
0.00	0.10	250	0.0062100124	50
0.00	0.10	375	0.0061447287	50
0.00	0.10	500	0.0062772083	50
0.00	0.10	625	0.0076968765	50
0.00	0.10	750	0.0071845436	50
0.00	0.10	875	0.0068371677	50
0.00	0.10	1000	0.0073251915	50
0.00	0.10	1125	0.0108097315	50
0.00	0.10	1250	0.0108376312	50
0.00	0.10	1375	0.0110616016	50
0.00	0.10	1500	0.0111462069	50
0.00	0.10	1625	0.0125364971	50
0.00	0.10	1750	0.0129236317	50
0.00	0.10	1875	0.0130279732	50
0.00	0.10	2000	0.0136044312	50
0.00	0.10	2125	0.0160923433	50
0.00	0.10	2250	0.0165042162	50
0.00	0.10	2375	0.0161647701	50
0.00	0.10	2500	0.0155414677	50
0.00	0.10	2625	0.0184192944	50
0.00	0.10	2750	0.0183529615	50
0.00	0.10	2875	0.0180303049	50
0.00	0.10	3000	0.0191359901	50
0.00	0.10	3125	0.0218774271	50
0.00	0.10	3250	0.0211817741	50
0.00	0.10	3375	0.0206345415	50
0.00	0.10	3500	0.0212638474	50
0.00	0.10	3625	0.0241561747	50
0.00	0.10	3750	0.0235866833	50
0.00	0.10	3875	0.0239752817	50
0.00	0.10	4000	0.0243222475	50
0.00	0.10	4125	0.0272451401	50
0.00	0.10	4250	0.0265010357	50
0.00	0.10	4375	0.0263403559	50
0.00	0.10	4500	0.0267761755	50
